stationReference,value,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1453TH,0.935,Heyford Bridge,51.920573,-1.306366,2.569,0.286,1.3,0.361
1460_w1TH,0.596,Enslow Weir A,51.861393,-1.30321,2.103,0.103,1.29,0.143
1460_w2TH,-0.374,RIVER CHERWELL  AT  ENSLOW,51.861438,-1.303137,,,,
1465TH,2.072,Thrupp,51.840425,-1.30005,3.346,0.578,2.12,0.654
1471TH,0.22,Grendon Underwood,51.884491,-1.012852,1.86,-0.211,0.939,0.008
1483TH,1.685,Lower Arncott,51.861059,-1.119228,2.984,0.222,2.0,0.297
1484TH,0.634,Langford Village,51.895439,-1.13585,1.852,0.037,1.309,0.103
1486TH,1.165,Wendlebury,51.874246,-1.18499,1.955,0.921,1.59,0.925
1489TH,2.486,Islip,51.819783,-1.242178,9.327,6.127,7.8,6.492
1490TH,,Oxford Botanical Gardens,51.750579,-1.24661,6.18,4.67,6.19,4.8
1491TH,2.121,Kings Mill,51.756247,-1.238765,2.78,1.231,2.4,1.631
1501TH,2.507,Iffley Lock,51.72955,-1.239792,0.937,-0.62,0.25,0.003
1502TH,0.158,Sandford-on-Thames,51.708312,-1.232825,,,,
1503TH,2.166,Abingdon Lock,51.670388,-1.268257,0.581,-0.26,0.2,-0.25
151816001,10.9,Romsey Broadlands Estate,50.968109,-1.497147,,,,
1552,0.0,Rainfall station,52.541438,-2.193841,,,,
1602,0.2,Rainfall station,52.05292,-2.737138,,,,
1603,0.0,Rainfall station,52.224678,-2.731196,,,,
1606,,Rainfall station,51.952233,-2.735485,,,,
1635TH,1.532,Minns Estate,51.753242,-1.290099,3.117,0.797,2.13,1.006
1645TH,1.527,New Botley,51.752648,-1.281126,3.141,0.736,2.01,0.87
1674TH,0.504,Hinksey Lake (Temporary),51.740477,-1.259957,1.198,0.18,1.394,0.23
1675TH,1.06,Cold Harbour,51.730973,-1.251352,,,,
1679TH,0.706,Abingdon,51.684602,-1.282696,1.33,-0.26,1.43,0.05
1681TH,1.316,Abingdon Peachcroft,51.683092,-1.268125,1.356,0.45,1.5,0.45
1687,0.2,Rainfall station,52.016552,-2.653481,,,,
1712,0.0,Rainfall station,52.639137,-2.325793,,,,
1713,0.0,Rainfall station,52.84224,-2.872181,,,,
1740,1.0,Rainfall station,52.392235,-1.324715,,,,
1745TH,0.349,Stanford Vale,51.632965,-1.505814,1.982,0.0,0.62,0.069
1747,0.0,Rainfall station,52.806646,-2.49764,,,,
1748,0.0,Rainfall station,52.481743,-2.579368,,,,
1756TH,0.563,Wantage,51.588848,-1.431205,0.86,0.349,0.8,0.371
1757TH,1.017,Charney Bassett,51.64711,-1.451462,2.718,0.225,1.8,0.485
1760,0.0,Rainfall station,52.140634,-1.974376,,,,
1761,0.4,Rainfall station,52.051393,-1.762976,,,,
1761TH,0.098,Letcombe Bassett,51.565511,-1.460667,0.229,0.016,0.198,0.058
